id,scenario,line_id,timestep,area_from,area_to,transmission,timestep_fractional
1959,0,2,83,2,1,0.0,20.6167
1959,0,2,83,2,1,0.0,20.6333
1959,0,2,83,2,1,0.0,20.65
1959,0,2,83,2,1,0.0,20.6667
1959,0,2,83,2,1,0.0,20.6833
1959,0,2,83,2,1,0.0,20.7
1959,0,2,83,2,1,0.0,20.7167
1959,0,2,83,2,1,0.0,20.7333
1959,0,2,83,2,1,0.0,20.75
1970,0,2,84,2,1,0.0,20.7667
1970,0,2,84,2,1,0.0,20.7833
1970,0,2,84,2,1,0.0,20.8
1970,0,2,84,2,1,0.0,20.8167
1970,0,2,84,2,1,0.0,20.8333
1970,0,2,84,2,1,0.0,20.85
1970,0,2,84,2,1,0.0,20.8667
1970,0,2,84,2,1,0.0,20.8833
1970,0,2,84,2,1,0.0,20.9
1970,0,2,84,2,1,0.0,20.9167
1970,0,2,84,2,1,0.0,20.9333
1970,0,2,84,2,1,0.0,20.95
1970,0,2,84,2,1,0.0,20.9667
1970,0,2,84,2,1,0.0,20.9833
1970,0,2,84,2,1,0.0,21.0
1981,0,2,85,2,1,0.0,21.0167
1981,0,2,85,2,1,0.0,21.0333
1981,0,2,85,2,1,0.0,21.05
1981,0,2,85,2,1,0.0,21.0667
1981,0,2,85,2,1,0.0,21.0833
1981,0,2,85,2,1,0.0,21.1
1981,0,2,85,2,1,0.0,21.1167
1981,0,2,85,2,1,0.0,21.1333
1981,0,2,85,2,1,0.0,21.15
1981,0,2,85,2,1,0.0,21.1667
1981,0,2,85,2,1,0.0,21.1833
1981,0,2,85,2,1,0.0,21.2
1981,0,2,85,2,1,0.0,21.2167
1981,0,2,85,2,1,0.0,21.2333
1981,0,2,85,2,1,0.0,21.25
1992,0,2,86,2,1,0.0,21.2667
1992,0,2,86,2,1,0.0,21.2833
1992,0,2,86,2,1,0.0,21.3
1992,0,2,86,2,1,0.0,21.3167
1992,0,2,86,2,1,0.0,21.3333
1992,0,2,86,2,1,0.0,21.35
1992,0,2,86,2,1,0.0,21.3667
1992,0,2,86,2,1,0.0,21.3833
1992,0,2,86,2,1,0.0,21.4
1992,0,2,86,2,1,0.0,21.4167
1992,0,2,86,2,1,0.0,21.4333
1992,0,2,86,2,1,0.0,21.45
1992,0,2,86,2,1,0.0,21.4667
1992,0,2,86,2,1,0.0,21.4833
1992,0,2,86,2,1,0.0,21.5
2003,0,2,87,2,1,0.0,21.5167
2003,0,2,87,2,1,0.0,21.5333
2003,0,2,87,2,1,0.0,21.55
2003,0,2,87,2,1,0.0,21.5667
2003,0,2,87,2,1,0.0,21.5833
2003,0,2,87,2,1,0.0,21.6
2003,0,2,87,2,1,0.0,21.6167
2003,0,2,87,2,1,0.0,21.6333
2003,0,2,87,2,1,0.0,21.65
2003,0,2,87,2,1,0.0,21.6667
2003,0,2,87,2,1,0.0,21.6833
2003,0,2,87,2,1,0.0,21.7
2003,0,2,87,2,1,0.0,21.7167
2003,0,2,87,2,1,0.0,21.7333
2003,0,2,87,2,1,0.0,21.75
2014,0,2,88,2,1,0.0,21.7667
2014,0,2,88,2,1,0.0,21.7833
2014,0,2,88,2,1,0.0,21.8
2014,0,2,88,2,1,0.0,21.8167
2014,0,2,88,2,1,0.0,21.8333
2014,0,2,88,2,1,0.0,21.85
2014,0,2,88,2,1,0.0,21.8667
2014,0,2,88,2,1,0.0,21.8833
2014,0,2,88,2,1,0.0,21.9
2014,0,2,88,2,1,0.0,21.9167
2014,0,2,88,2,1,0.0,21.9333
2014,0,2,88,2,1,0.0,21.95
2014,0,2,88,2,1,0.0,21.9667
2014,0,2,88,2,1,0.0,21.9833
2014,0,2,88,2,1,0.0,22.0
2025,0,2,89,2,1,0.0,22.0167
2025,0,2,89,2,1,0.0,22.0333
2025,0,2,89,2,1,0.0,22.05
2025,0,2,89,2,1,0.0,22.0667
2025,0,2,89,2,1,0.0,22.0833
2025,0,2,89,2,1,0.0,22.1
2025,0,2,89,2,1,0.0,22.1167
2025,0,2,89,2,1,0.0,22.1333
2025,0,2,89,2,1,0.0,22.15
2025,0,2,89,2,1,0.0,22.1667
2025,0,2,89,2,1,0.0,22.1833
2025,0,2,89,2,1,0.0,22.2
2025,0,2,89,2,1,0.0,22.2167
2025,0,2,89,2,1,0.0,22.2333
2025,0,2,89,2,1,0.0,22.25
2036,0,2,90,2,1,0.0,22.2667
2036,0,2,90,2,1,0.0,22.2833
2036,0,2,90,2,1,0.0,22.3
2036,0,2,90,2,1,0.0,22.3167
2036,0,2,90,2,1,0.0,22.3333
2036,0,2,90,2,1,0.0,22.35
2036,0,2,90,2,1,0.0,22.3667
2036,0,2,90,2,1,0.0,22.3833
2036,0,2,90,2,1,0.0,22.4
2036,0,2,90,2,1,0.0,22.4167
2036,0,2,90,2,1,0.0,22.4333
2036,0,2,90,2,1,0.0,22.45
2036,0,2,90,2,1,0.0,22.4667
2036,0,2,90,2,1,0.0,22.4833
2036,0,2,90,2,1,0.0,22.5
2047,0,2,91,2,1,0.0,22.5167
2047,0,2,91,2,1,0.0,22.5333
2047,0,2,91,2,1,0.0,22.55
2047,0,2,91,2,1,0.0,22.5667
2047,0,2,91,2,1,0.0,22.5833
2047,0,2,91,2,1,0.0,22.6
2047,0,2,91,2,1,0.0,22.6167
2047,0,2,91,2,1,0.0,22.6333
2047,0,2,91,2,1,0.0,22.65
2047,0,2,91,2,1,0.0,22.6667
2047,0,2,91,2,1,0.0,22.6833
2047,0,2,91,2,1,0.0,22.7
2047,0,2,91,2,1,0.0,22.7167
2047,0,2,91,2,1,0.0,22.7333
2047,0,2,91,2,1,0.0,22.75
2058,0,2,92,2,1,0.0,22.7667
2058,0,2,92,2,1,0.0,22.7833
2058,0,2,92,2,1,0.0,22.8
2058,0,2,92,2,1,0.0,22.8167
2058,0,2,92,2,1,0.0,22.8333
2058,0,2,92,2,1,0.0,22.85
2058,0,2,92,2,1,0.0,22.8667
2058,0,2,92,2,1,0.0,22.8833
2058,0,2,92,2,1,0.0,22.9
2058,0,2,92,2,1,0.0,22.9167
2058,0,2,92,2,1,0.0,22.9333
2058,0,2,92,2,1,0.0,22.95
2058,0,2,92,2,1,0.0,22.9667
2058,0,2,92,2,1,0.0,22.9833
2058,0,2,92,2,1,0.0,23.0
2069,0,2,93,2,1,0.0,23.0167
2069,0,2,93,2,1,0.0,23.0333
2069,0,2,93,2,1,0.0,23.05
2069,0,2,93,2,1,0.0,23.0667
2069,0,2,93,2,1,0.0,23.0833
2069,0,2,93,2,1,0.0,23.1
2069,0,2,93,2,1,0.0,23.1167
2069,0,2,93,2,1,0.0,23.1333
2069,0,2,93,2,1,0.0,23.15
2069,0,2,93,2,1,0.0,23.1667
2069,0,2,93,2,1,0.0,23.1833
2069,0,2,93,2,1,0.0,23.2
2069,0,2,93,2,1,0.0,23.2167
2069,0,2,93,2,1,0.0,23.2333
2069,0,2,93,2,1,0.0,23.25
2080,0,2,94,2,1,0.0,23.2667
2080,0,2,94,2,1,0.0,23.2833
2080,0,2,94,2,1,0.0,23.3
2080,0,2,94,2,1,0.0,23.3167
2080,0,2,94,2,1,0.0,23.3333
2080,0,2,94,2,1,0.0,23.35
2080,0,2,94,2,1,0.0,23.3667
2080,0,2,94,2,1,0.0,23.3833
2080,0,2,94,2,1,0.0,23.4
2080,0,2,94,2,1,0.0,23.4167
2080,0,2,94,2,1,0.0,23.4333
2080,0,2,94,2,1,0.0,23.45
2080,0,2,94,2,1,0.0,23.4667
2080,0,2,94,2,1,0.0,23.4833
2080,0,2,94,2,1,0.0,23.5
2091,0,2,95,2,1,0.0,23.5167
2091,0,2,95,2,1,0.0,23.5333
2091,0,2,95,2,1,0.0,23.55
2091,0,2,95,2,1,0.0,23.5667
2091,0,2,95,2,1,0.0,23.5833
2091,0,2,95,2,1,0.0,23.6
2091,0,2,95,2,1,0.0,23.6167
2091,0,2,95,2,1,0.0,23.6333
2091,0,2,95,2,1,0.0,23.65
2091,0,2,95,2,1,0.0,23.6667
2091,0,2,95,2,1,0.0,23.6833
2091,0,2,95,2,1,0.0,23.7
2091,0,2,95,2,1,0.0,23.7167
2091,0,2,95,2,1,0.0,23.7333
2091,0,2,95,2,1,0.0,23.75
2102,0,2,96,2,1,0.0,23.7667
2102,0,2,96,2,1,0.0,23.7833
2102,0,2,96,2,1,0.0,23.8
2102,0,2,96,2,1,0.0,23.8167
2102,0,2,96,2,1,0.0,23.8333
2102,0,2,96,2,1,0.0,23.85
2102,0,2,96,2,1,0.0,23.8667
2102,0,2,96,2,1,0.0,23.8833
2102,0,2,96,2,1,0.0,23.9
2102,0,2,96,2,1,0.0,23.9167
2102,0,2,96,2,1,0.0,23.9333
2102,0,2,96,2,1,0.0,23.95
2102,0,2,96,2,1,0.0,23.9667
2102,0,2,96,2,1,0.0,23.9833
2102,0,2,96,2,1,0.0,24.0
1058,1,2,1,2,1,0.0,0.0
1058,1,2,1,2,1,0.0,0.0167
1058,1,2,1,2,1,0.0,0.0333
1058,1,2,1,2,1,0.0,0.05
1058,1,2,1,2,1,0.0,0.0667
1058,1,2,1,2,1,0.0,0.0833
1058,1,2,1,2,1,0.0,0.1
1058,1,2,1,2,1,0.0,0.1167
1058,1,2,1,2,1,0.0,0.1333
1058,1,2,1,2,1,0.0,0.15
1058,1,2,1,2,1,0.0,0.1667
1058,1,2,1,2,1,0.0,0.1833
1058,1,2,1,2,1,0.0,0.2
1058,1,2,1,2,1,0.0,0.2167
1058,1,2,1,2,1,0.0,0.2333
1058,1,2,1,2,1,0.0,0.25
1069,1,2,2,2,1,0.0,0.2667
1069,1,2,2,2,1,0.0,0.2833
1069,1,2,2,2,1,0.0,0.3
1069,1,2,2,2,1,0.0,0.3167
1069,1,2,2,2,1,0.0,0.3333
1069,1,2,2,2,1,0.0,0.35
1069,1,2,2,2,1,0.0,0.3667
1069,1,2,2,2,1,0.0,0.3833
1069,1,2,2,2,1,0.0,0.4
