timestep,plant_id,scenario,discharge,bypass,spill,controlled_inflow,controlled_outflow,volume,volume_res
3,49929,2,0.0,0.0,0.0,0.0,0.0,26000.0,26000.0
3,49929,3,0.0,0.0,0.0,0.0,0.0,26000.0,26000.0
3,49930,1,0.0,0.0,0.0,0.0,0.0,25000.0,25000.0
3,49930,2,0.0,0.0,0.0,0.0,0.0,25000.0,25000.0
3,49930,3,0.0,0.0,0.0,0.0,0.0,25000.0,25000.0
3,49931,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49931,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49931,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49900,1,103.77742344088709,0.0,0.0,104.01943551243436,103.77742344088709,-32.69896623322111,0.0
4,49900,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49900,3,48.268368167990765,0.0,0.0,48.25461785260735,48.268368167990765,9.483984874179349,0.0
4,49901,1,5.540839411346134,0.0,0.0,5.540839411346134,5.540839411346134,0.0,0.0
4,49901,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49901,3,5.540839411346134,0.0,0.0,5.540839411346134,5.540839411346134,0.0,0.0
4,49902,1,5.540839411346134,0.0,0.0,0.0,5.540839411346134,440.5178529115159,439.58928708093583
4,49902,2,0.0,0.0,0.0,0.0,0.0,500.0,500.0
4,49902,3,5.540839411346134,0.0,0.0,0.0,5.540839411346134,444.8775821144763,443.94901628389744
4,49903,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49903,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49903,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49904,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49904,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49904,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49905,1,0.0,0.0,0.0,0.0,0.0,500.0,500.0
4,49905,2,0.0,0.0,0.0,0.0,0.0,500.0,500.0
4,49905,3,0.0,0.0,0.0,0.0,0.0,500.0,500.0
4,49906,1,98.47859610108831,0.0,0.0,10.0,98.47859610108831,174442.71859587493,174398.56157621744
4,49906,2,0.0,0.0,0.0,0.0,0.0,174725.0,174725.0
4,49906,3,42.713778441261255,0.0,0.0,0.0,42.713778441261255,174554.6563046755,174532.86575541258
4,49907,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49907,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49907,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49908,1,10.0,0.0,0.0,0.0,10.0,9315.005,9310.0
4,49908,2,0.0,0.0,0.0,0.0,0.0,9350.0,9350.0
4,49908,3,0.0,0.0,0.0,0.0,0.0,9350.0,9350.0
4,49911,1,0.0,0.0,0.0,0.0,0.0,18500.0,18500.0
4,49911,2,0.0,0.0,0.0,13.0,0.0,18545.4935,18552.0
4,49911,3,0.0,0.0,0.0,13.0,0.0,18545.4935,18552.0
4,49912,1,0.0,0.0,0.0,0.0,0.0,32500.000000000004,32500.000000000004
4,49912,2,0.0,0.0,0.0,0.0,0.0,32500.000000000004,32500.000000000004
4,49912,3,0.0,0.0,0.0,0.0,0.0,32500.000000000004,32500.000000000004
4,49913,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49913,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49913,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49914,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49914,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49914,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49915,1,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0
4,49915,2,13.0,0.0,0.0,0.0,13.0,2954.5064999999995,2948.0
4,49915,3,13.0,0.0,0.0,0.0,13.0,2954.5064999999995,2948.0
4,49920,1,0.0,0.0,0.0,0.0,0.0,1961.676660461876,1961.6766604619156
4,49920,2,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0
4,49920,3,0.0,0.0,0.0,0.0,0.0,1961.676660461876,1961.6766604619156
4,49921,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49921,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49921,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49922,1,0.0,0.0,0.0,0.0,0.0,500.0,500.0
4,49922,2,0.0,0.0,0.0,0.0,0.0,500.0,500.0
4,49922,3,0.0,0.0,0.0,0.0,0.0,500.0,500.0
4,49923,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49923,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49923,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49924,1,0.0,0.0,0.0,0.0,0.0,18650.0,18650.0
4,49924,2,0.0,0.0,0.0,0.0,0.0,18650.0,18650.0
4,49924,3,0.0,0.0,0.0,0.0,0.0,18650.0,18650.0
4,49925,1,0.0,0.0,0.0,0.0,0.0,291000.0,291000.0
4,49925,2,0.0,0.0,0.0,0.0,0.0,291000.0,291000.0
4,49925,3,0.0,0.0,0.0,0.0,0.0,291000.0,291000.0
4,49927,1,0.0,0.0,0.0,0.0,0.0,93499.99999999999,93499.99999999997
4,49927,2,0.0,0.0,0.0,0.0,0.0,93499.99999999999,93499.99999999997
4,49927,3,0.0,0.0,0.0,0.0,0.0,93499.99999999999,93499.99999999997
4,49928,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49928,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49928,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49929,1,0.0,0.0,0.0,0.0,0.0,26000.0,26000.0
4,49929,2,0.0,0.0,0.0,0.0,0.0,26000.0,26000.0
4,49929,3,0.0,0.0,0.0,0.0,0.0,26000.0,26000.0
4,49930,1,0.0,0.0,0.0,0.0,0.0,25000.0,25000.0
4,49930,2,0.0,0.0,0.0,0.0,0.0,25000.0,25000.0
4,49930,3,0.0,0.0,0.0,0.0,0.0,25000.0,25000.0
4,49931,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49931,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49931,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,49900,1,88.6563603846817,0.0,0.0,88.88122721681675,88.6563603846817,-30.018344900307365,0.0
5,49900,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,49900,3,38.953391823967664,0.0,0.0,38.95599452983057,38.953391823967664,6.191249048589137,0.0
5,49901,1,0.7806289999100346,0.0,0.0,0.7806289999100346,0.7806289999100346,1.4758601748110494e-17,0.0
5,49901,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
