id,area,timestep,load,load_shedding,power_dumping
244,2,0.2,142.32840000000002,0.0,360.18424000000005
245,2,0.3,141.50074999999998,0.0,354.74810999999994
246,2,0.4,138.10240000000002,0.0,357.82832
247,2,0.5,134.08125,0.0,366.41124999999994
248,2,0.6,131.3852,0.0,377.48328000000004
249,2,0.7,131.96215,0.0,388.0307899999999
250,2,0.8,137.76000000000002,0.0,395.04016
251,2,0.9,150.72665,0.0,395.49777
252,2,1.0,172.81,0.0,386.39
253,2,1.1,194.14314000000005,0.0,376.37599000000006
254,2,1.2,205.32392000000007,0.0,374.2807200000001
255,2,1.3,208.99737999999996,0.0,377.3303299999999
256,2,1.4,207.80856,0.0,382.75096
257,2,1.5,204.40249999999997,0.0,387.76875
258,2,1.6,201.42424000000003,0.0,389.60984
259,2,1.7,201.51882,0.0,385.50037
260,2,1.8,207.33128,0.0,372.66648000000004
261,2,1.9,221.50666,0.0,348.33431
262,2,2.0,246.69,0.0,309.73
263,2,2.1,273.94884,0.0,270.17316999999997
264,2,2.2,293.19792000000007,0.0,243.52816000000004
265,2,2.3,305.35308,0.0,227.81118999999993
266,2,2.4,311.33016000000003,0.0,221.03847999999996
267,2,2.5,312.04499999999996,0.0,221.22624999999994
268,2,2.6,308.41344000000004,0.0,226.39072
269,2,2.7,301.35132,0.0,234.54810999999995
270,2,2.8,291.77448000000004,0.0,243.71464
271,2,2.9,280.59876,0.0,251.90652999999998
272,2,3.0,268.74,0.0,257.14
273,2,3.1,259.09469000000007,0.0,259.94315
274,2,3.2,253.31872000000007,0.0,262.23
275,2,3.3,250.45802999999998,0.0,264.1136499999999
276,2,3.4,249.55856000000003,0.0,265.7072
277,2,3.5,249.66625000000002,0.0,267.12375
278,2,3.6,249.82704,0.0,268.4764
