id,area,scenario,timestep,timestep_fractional,load,load_shedding,power_dumping
219,1,1,4,3.6333,457.5824875061729,0.0,0.00040454320987847483
220,1,1,4,3.65,457.56572800000004,0.0,0.000648000000003094
221,1,1,4,3.6667,457.55839506172845,0.0,0.00098765432099237
222,1,1,4,3.6833,457.5514267654321,0.0,0.0014460246913649288
223,1,1,4,3.7,457.534448,0.0,0.0020480000000097794
224,1,1,4,3.7167,457.4957704691358,0.0,0.002820839506186309
225,1,1,4,3.7333,457.422392691358,0.0,0.0037941728395242897
226,1,1,4,3.75,457.3,0.0,0.005000000000023874
227,1,1,4,3.7667,457.2009422222223,0.0,0.003794271604956389
228,1,1,4,3.7833,457.18619851851855,0.0,0.0028224197530998967
229,1,1,4,3.8,457.2264000000002,0.0,0.0020560000000098178
230,1,1,4,3.8167,457.29616000000016,0.0,0.0014713086419823344
231,1,1,4,3.8333,457.3740740740742,0.0,0.0010493827160543937
232,1,1,4,3.85,457.44272000000007,0.0,0.0007760000000037053
233,1,1,4,3.8667,457.4886577777778,0.0,0.0006416790123487429
234,1,1,4,3.8833,457.50242962962966,0.0,0.0006416790123487429
235,1,1,4,3.9,457.4785600000001,0.0,0.0007760000000037053
236,1,1,4,3.9167,457.4155555555556,0.0,0.001049382716054393
237,1,1,4,3.9333,457.3159051851852,0.0,0.0014713086419823336
238,1,1,4,3.95,457.18608,0.0,0.0020560000000098178
239,1,1,4,3.9667,457.0365333333334,0.0,0.0028224197530998967
240,1,1,4,3.9833,456.8817007407407,0.0,0.003794271604956389
241,1,1,4,4.0,456.74,0.0,0.005000000000023874
242,1,1,5,4.0167,456.6716150123457,0.0,0.0037941728395242897
243,1,1,5,4.0333,456.70136612345686,0.0,0.002820839506186309
244,1,1,5,4.05,456.80721600000015,0.0,0.0020480000000097794
245,1,1,5,4.0667,456.9692653827162,0.0,0.0014460246913649297
246,1,1,5,4.0833,457.16975308641986,0.0,0.0009876543209923706
247,1,1,5,4.1,457.393056,0.0,0.000648000000003094
248,1,1,5,4.1167,457.6256890864197,0.0,0.00040454320987847483
249,1,1,5,4.1333,457.856305382716,0.0,0.0002371358024702681
250,1,1,5,4.15,458.07569600000005,0.0,0.0001280000000006112
251,1,1,5,4.1667,458.27679012345686,0.0,6.172839506202316e-5
252,1,1,5,4.1833,458.45465501234565,0.0,2.5283950617404694e-5
253,1,1,5,4.2,458.606496,0.0,8.000000000038192e-6
254,1,1,5,4.2167,458.73165649382713,0.0,1.580246913587791e-6
255,1,1,5,4.2333,458.8316179753087,0.0,9.876543209923694e-8
256,1,1,5,4.25,458.91,0.0,0.0
257,1,1,5,4.2667,458.9694176790124,0.0,0.0
258,1,1,5,4.2833,459.0025376790124,0.0,0.0
259,1,1,5,4.3,459.00795200000016,0.0,0.0
260,1,1,5,4.3167,458.98464138271623,0.0,0.0
261,1,1,5,4.3333,458.93197530864205,0.0,0.0
262,1,1,5,4.35,458.84971200000007,0.0,0.0
263,1,1,5,4.3667,458.73799841975307,0.0,0.0
264,1,1,5,4.3833,458.597370271605,0.0,0.0
265,1,1,5,4.4,458.42875200000003,0.0,0.0
266,1,1,5,4.4167,458.23345679012345,0.0,0.0
267,1,1,5,4.4333,458.01318656790124,0.0,0.0
268,1,1,5,4.45,457.770032,0.0,0.0
269,1,1,5,4.4667,457.5064724938272,0.0,0.0
270,1,1,5,4.4833,457.22537619753086,0.0,0.0
271,1,1,5,4.5,456.93,0.0,0.0
272,1,1,5,4.5167,456.7203043950617,0.0,0.0
273,1,1,5,4.5333,456.66543032098775,0.0,0.0
274,1,1,5,4.55,456.7267360000002,0.0,0.0
275,1,1,5,4.5667,456.8709651358025,0.0,0.0
