id,areas_fk,plant_id,timestep,b,scenario,area,fuel_type,production,up_activation,down_activation
412,1,49915,1,2,1,3,Hydro,0.0,0.0,0.0
413,1,49915,1,2,2,3,Hydro,0.0,0.0,0.0
414,1,49915,1,2,3,3,Hydro,0.0,0.0,0.0
415,1,49915,1,3,1,3,Hydro,0.0,0.0,0.0
416,1,49915,1,3,2,3,Hydro,0.0,0.0,0.0
417,1,49915,1,3,3,3,Hydro,0.0,0.0,0.0
418,1,49915,1,4,1,3,Hydro,0.0,0.0,0.0
419,1,49915,1,4,2,3,Hydro,0.0,0.0,0.0
420,1,49915,1,4,3,3,Hydro,0.0,0.0,0.0
421,1,49920,1,0,1,3,Hydro,28.53,28.53,0.0
422,1,49920,1,0,2,3,Hydro,0.0,0.0,0.0
423,1,49920,1,0,3,3,Hydro,28.53,28.53,0.0
424,1,49920,1,1,1,3,Hydro,31.12,31.12,0.0
425,1,49920,1,1,2,3,Hydro,0.0,0.0,0.0
426,1,49920,1,1,3,3,Hydro,31.12,31.12,0.0
427,1,49920,1,2,1,3,Hydro,23.28,23.28,0.0
428,1,49920,1,2,2,3,Hydro,0.0,0.0,0.0
429,1,49920,1,2,3,3,Hydro,23.28,23.28,0.0
430,1,49920,1,3,1,3,Hydro,38.21,38.21,0.0
431,1,49920,1,3,2,3,Hydro,0.0,0.0,0.0
432,1,49920,1,3,3,3,Hydro,38.21,38.21,0.0
433,1,49920,1,4,1,3,Hydro,19.1,19.1,0.0
434,1,49920,1,4,2,3,Hydro,0.0,0.0,0.0
435,1,49920,1,4,3,3,Hydro,19.1,19.1,0.0
436,1,49921,1,0,1,3,Hydro,0.0,0.0,0.0
437,1,49921,1,0,2,3,Hydro,0.0,0.0,0.0
438,1,49921,1,0,3,3,Hydro,0.0,0.0,0.0
