id,scenario,line_id,timestep,timestep_fractional,area_from,area_to,transmission
583,1,1,10,9.7,1,2,21.86
584,1,1,10,9.7167,1,2,22.14
585,1,1,10,9.7333,1,2,22.39
586,1,1,10,9.75,1,2,22.6
587,1,1,10,9.7667,1,2,22.76
588,1,1,10,9.7833,1,2,22.88
589,1,1,10,9.8,1,2,22.94
590,1,1,10,9.8167,1,2,22.95
591,1,1,10,9.8333,1,2,22.91
592,1,1,10,9.85,1,2,22.8
593,1,1,10,9.8667,1,2,22.64
594,1,1,10,9.8833,1,2,22.41
595,1,1,10,9.9,1,2,22.12
596,1,1,10,9.9167,1,2,21.76
597,1,1,10,9.9333,1,2,21.33
598,1,1,10,9.95,1,2,20.83
599,1,1,10,9.9667,1,2,20.25
600,1,1,10,9.9833,1,2,19.59
601,1,1,10,10.0,1,2,18.86
602,1,1,11,10.0167,1,2,18.11
603,1,1,11,10.0333,1,2,17.41
604,1,1,11,10.05,1,2,16.77
605,1,1,11,10.0667,1,2,16.18
606,1,1,11,10.0833,1,2,15.64
607,1,1,11,10.1,1,2,15.15
608,1,1,11,10.1167,1,2,14.7
609,1,1,11,10.1333,1,2,14.31
610,1,1,11,10.15,1,2,13.96
611,1,1,11,10.1667,1,2,13.66
612,1,1,11,10.1833,1,2,13.4
613,1,1,11,10.2,1,2,13.19
614,1,1,11,10.2167,1,2,13.01
615,1,1,11,10.2333,1,2,12.88
616,1,1,11,10.25,1,2,12.79
617,1,1,11,10.2667,1,2,12.73
618,1,1,11,10.2833,1,2,12.72
619,1,1,11,10.3,1,2,12.73
620,1,1,11,10.3167,1,2,12.78
621,1,1,11,10.3333,1,2,12.87
622,1,1,11,10.35,1,2,12.98
623,1,1,11,10.3667,1,2,13.13
624,1,1,11,10.3833,1,2,13.3
625,1,1,11,10.4,1,2,13.49
626,1,1,11,10.4167,1,2,13.72
627,1,1,11,10.4333,1,2,13.96
628,1,1,11,10.45,1,2,14.22
629,1,1,11,10.4667,1,2,14.51
630,1,1,11,10.4833,1,2,14.81
631,1,1,11,10.5,1,2,15.13
632,1,1,11,10.5167,1,2,15.45
633,1,1,11,10.5333,1,2,15.8
634,1,1,11,10.55,1,2,16.15
635,1,1,11,10.5667,1,2,16.5
636,1,1,11,10.5833,1,2,16.87
637,1,1,11,10.6,1,2,17.23
638,1,1,11,10.6167,1,2,17.6
639,1,1,11,10.6333,1,2,17.97
640,1,1,11,10.65,1,2,18.33
641,1,1,11,10.6667,1,2,18.69
642,1,1,11,10.6833,1,2,19.03
643,1,1,11,10.7,1,2,19.37
644,1,1,11,10.7167,1,2,19.7
645,1,1,11,10.7333,1,2,20.01
646,1,1,11,10.75,1,2,20.3
647,1,1,11,10.7667,1,2,20.58
648,1,1,11,10.7833,1,2,20.83
649,1,1,11,10.8,1,2,21.05
650,1,1,11,10.8167,1,2,21.25
651,1,1,11,10.8333,1,2,21.42
652,1,1,11,10.85,1,2,21.56
653,1,1,11,10.8667,1,2,21.65
654,1,1,11,10.8833,1,2,21.71
655,1,1,11,10.9,1,2,21.73
656,1,1,11,10.9167,1,2,21.71
657,1,1,11,10.9333,1,2,21.64
658,1,1,11,10.95,1,2,21.51
659,1,1,11,10.9667,1,2,21.34
660,1,1,11,10.9833,1,2,21.11
661,1,1,11,11.0,1,2,20.82
662,1,1,12,11.0167,1,2,20.51
663,1,1,12,11.0333,1,2,20.24
664,1,1,12,11.05,1,2,20.0
665,1,1,12,11.0667,1,2,19.78
666,1,1,12,11.0833,1,2,19.6
667,1,1,12,11.1,1,2,19.44
668,1,1,12,11.1167,1,2,19.3
669,1,1,12,11.1333,1,2,19.18
