timestep,plant_id,scenario,production,up_activation,down_activation,area,fuel_type,status,startup
3,156,2,36.05,0.0,0.0,2,Wind,0,0
3,156,3,44.32,0.0,0.0,2,Wind,0,0
3,157,1,61.3,0.0,0.0,2,Wind,0,0
3,157,2,55.99,0.0,0.0,2,Wind,0,0
3,157,3,63.2,0.0,0.0,2,Wind,0,0
3,49900,1,0.0,0.0,0.0,3,Hydro,0,0
3,49900,2,0.0,0.0,0.0,3,Hydro,0,0
3,49900,3,0.0,0.0,0.0,3,Hydro,0,0
3,49901,1,7.6,7.58276999999997,0.0,3,Hydro,0,0
3,49901,2,0.0,0.0,0.021120000000000277,3,Hydro,0,0
3,49901,3,6.73,6.704340000000002,0.0,3,Hydro,0,0
3,49902,1,9.23,9.206690000000007,0.0,3,Hydro,0,0
3,49902,2,0.0,0.0,0.026910000000000198,3,Hydro,0,0
3,49902,3,8.17,8.139519999999992,0.0,3,Hydro,0,0
3,49903,1,0.0,0.0,0.0,3,Hydro,0,0
3,49903,2,0.0,0.0,0.0,3,Hydro,0,0
3,49903,3,0.0,0.0,0.0,3,Hydro,0,0
3,49904,1,0.0,0.0,0.0,3,Hydro,0,0
3,49904,2,0.0,0.0,0.0,3,Hydro,0,0
3,49904,3,0.0,0.0,0.0,3,Hydro,0,0
3,49905,1,0.0,0.0,0.0,3,Hydro,0,0
3,49905,2,0.0,0.0,0.0,3,Hydro,0,0
3,49905,3,0.0,0.0,0.0,3,Hydro,0,0
3,49906,1,116.99,12.36594000000001,6.4452500000000095,3,Hydro,0,0
3,49906,2,0.0,0.0,111.06952000000014,3,Hydro,0,0
3,49906,3,50.21,0.5844899999999972,61.44156999999991,3,Hydro,0,0
3,49907,1,0.0,0.0,0.0,3,Hydro,0,0
3,49907,2,0.0,0.0,0.0,3,Hydro,0,0
3,49907,3,0.0,0.0,0.0,3,Hydro,0,0
3,49908,1,0.0,0.0,0.0,3,Hydro,0,0
3,49908,2,0.0,0.0,0.0,3,Hydro,0,0
3,49908,3,0.0,0.0,0.0,3,Hydro,0,0
3,49911,1,0.0,0.0,0.0,3,Hydro,0,0
3,49911,2,0.0,0.0,0.0,3,Hydro,0,0
3,49911,3,0.0,0.0,0.0,3,Hydro,0,0
3,49912,1,0.0,0.0,0.0,3,Hydro,0,0
3,49912,2,0.0,0.0,0.0,3,Hydro,0,0
3,49912,3,0.0,0.0,0.0,3,Hydro,0,0
3,49913,1,0.0,0.0,0.0,3,Hydro,0,0
3,49913,2,0.0,0.0,0.0,3,Hydro,0,0
3,49913,3,0.0,0.0,0.0,3,Hydro,0,0
3,49914,1,0.0,0.0,0.0,3,Hydro,0,0
3,49914,2,0.0,0.0,0.0,3,Hydro,0,0
3,49914,3,0.0,0.0,0.0,3,Hydro,0,0
3,49915,1,0.0,0.0,0.0,3,Hydro,0,0
3,49915,2,0.0,0.0,0.0,3,Hydro,0,0
3,49915,3,0.0,0.0,0.0,3,Hydro,0,0
3,49920,1,0.0,0.0,0.0,3,Hydro,0,0
3,49920,2,0.0,0.0,0.0,3,Hydro,0,0
3,49920,3,0.0,0.0,0.0,3,Hydro,0,0
3,49921,1,0.0,0.0,0.0,3,Hydro,0,0
3,49921,2,0.0,0.0,0.0,3,Hydro,0,0
3,49921,3,0.0,0.0,0.0,3,Hydro,0,0
3,49922,1,0.0,0.0,0.0,3,Hydro,0,0
3,49922,2,0.0,0.0,0.0,3,Hydro,0,0
3,49922,3,0.0,0.0,0.0,3,Hydro,0,0
3,49923,1,0.0,0.0,0.0,3,Hydro,0,0
3,49923,2,0.0,0.0,0.0,3,Hydro,0,0
3,49923,3,0.0,0.0,0.0,3,Hydro,0,0
3,49924,1,0.0,0.0,0.0,3,Hydro,0,0
3,49924,2,0.0,0.0,0.0,3,Hydro,0,0
3,49924,3,0.0,0.0,0.0,3,Hydro,0,0
3,49925,1,0.0,0.0,0.0,3,Hydro,0,0
3,49925,2,0.0,0.0,0.0,3,Hydro,0,0
3,49925,3,0.0,0.0,0.0,3,Hydro,0,0
3,49927,1,0.0,0.0,0.0,3,Hydro,0,0
3,49927,2,0.0,0.0,0.0,3,Hydro,0,0
3,49927,3,0.0,0.0,0.0,3,Hydro,0,0
3,49928,1,0.0,0.0,0.0,3,Hydro,0,0
3,49928,2,0.0,0.0,0.0,3,Hydro,0,0
3,49928,3,0.0,0.0,0.0,3,Hydro,0,0
3,49929,1,0.0,0.0,0.0,3,Hydro,0,0
3,49929,2,0.0,0.0,0.0,3,Hydro,0,0
3,49929,3,0.0,0.0,0.0,3,Hydro,0,0
3,49930,1,0.0,0.0,0.0,3,Hydro,0,0
3,49930,2,0.0,0.0,0.0,3,Hydro,0,0
3,49930,3,0.0,0.0,0.0,3,Hydro,0,0
3,49931,1,0.0,0.0,0.0,3,Hydro,0,0
3,49931,2,0.0,0.0,0.0,3,Hydro,0,0
3,49931,3,0.0,0.0,0.0,3,Hydro,0,0
4,1,1,0.0,0.0,0.0,1,Thermal,0,1
4,1,2,0.0,0.0,0.0,1,Thermal,0,1
4,1,3,0.0,0.0,0.0,1,Thermal,0,1
4,2,1,0.0,0.0,0.0,1,Thermal,0,1
4,2,2,0.0,0.0,0.0,1,Thermal,0,1
4,2,3,0.0,0.0,0.0,1,Thermal,0,1
4,3,1,75.99,0.0,0.0,1,Thermal,0,1
4,3,2,75.99,0.0,0.0,1,Thermal,0,1
4,3,3,75.99,0.0,0.0,1,Thermal,0,1
4,4,1,75.99,0.0,0.0,1,Thermal,0,1
4,4,2,75.99,0.0,0.0,1,Thermal,0,1
4,4,3,75.99,0.0,0.0,1,Thermal,0,1
4,5,1,0.0,0.0,0.0,1,Thermal,0,1
4,5,2,0.0,0.0,0.0,1,Thermal,0,1
4,5,3,0.0,0.0,0.0,1,Thermal,0,1
4,6,1,0.0,0.0,0.0,1,Thermal,0,1
4,6,2,0.0,0.0,0.0,1,Thermal,0,1
4,6,3,0.0,0.0,0.0,1,Thermal,0,1
4,7,1,75.99,0.0,0.0,1,Thermal,0,1
4,7,2,75.99,0.0,0.0,1,Thermal,0,1
4,7,3,75.99,0.0,0.0,1,Thermal,0,1
4,8,1,75.99,0.0,0.0,1,Thermal,0,1
4,8,2,75.99,0.0,0.0,1,Thermal,0,1
4,8,3,75.99,0.0,0.0,1,Thermal,0,1
4,9,1,354.99,0.0,0.0,1,Thermal,0,1
4,9,2,185.53,0.0,169.46394000000004,1,Thermal,0,1
4,9,3,349.55,0.0,5.443200000000001,1,Thermal,0,1
4,10,1,54.99,0.0,0.0,1,Thermal,0,1
4,10,2,49.81,0.0,5.1844,1,Thermal,0,1
4,10,3,54.99,0.0,0.0,1,Thermal,0,1
4,154,1,12.19,0.0,0.0,2,Wind,0,0
4,154,2,8.85,0.0,0.0,2,Wind,0,0
4,154,3,11.25,0.0,0.0,2,Wind,0,0
4,155,1,68.31,0.0,0.0,2,Wind,0,0
4,155,2,63.51,0.0,0.0,2,Wind,0,0
4,155,3,70.41,0.0,0.0,2,Wind,0,0
4,156,1,46.41,0.0,0.0,2,Wind,0,0
4,156,2,43.1,0.0,0.0,2,Wind,0,0
4,156,3,47.81,0.0,0.0,2,Wind,0,0
4,157,1,61.3,0.0,0.0,2,Wind,0,0
4,157,2,56.85,0.0,0.0,2,Wind,0,0
4,157,3,63.2,0.0,0.0,2,Wind,0,0
4,49900,1,0.0,0.0,0.0,3,Hydro,0,0
4,49900,2,0.0,0.0,0.0,3,Hydro,0,0
4,49900,3,0.0,0.0,0.0,3,Hydro,0,0
4,49901,1,1.12,1.117019999999995,0.0,3,Hydro,0,0
4,49901,2,0.0,0.0,0.0,3,Hydro,0,0
4,49901,3,1.12,1.117019999999995,0.0,3,Hydro,0,0
4,49902,1,1.36,1.3562499999999955,0.0,3,Hydro,0,0
4,49902,2,0.0,0.0,0.0,3,Hydro,0,0
4,49902,3,1.36,1.3562499999999955,0.0,3,Hydro,0,0
4,49903,1,0.0,0.0,0.0,3,Hydro,0,0
4,49903,2,0.0,0.0,0.0,3,Hydro,0,0
4,49903,3,0.0,0.0,0.0,3,Hydro,0,0
4,49904,1,0.0,0.0,0.0,3,Hydro,0,0
4,49904,2,0.0,0.0,0.0,3,Hydro,0,0
