Imbalance continuous;Imbalance discrete;timestep_fractional;;;;;;;;;;;
3.58;20.1;0;;21.017392;32.2;;;;Column1;Discrete;Continuous;Column2;Column3
5.985472198;6.8;5.2667;;8.829315683;12.2;;;;;;;;
5.639951329;6.8;5.2833;;8.82593;12.2;;;;;;;;
5.283603;6.8;5.3;;8.804804687;12.2;;;;;;;;
4.922607811;6.8;5.3167;;8.788389605;12.2;;;;;;;;
4.562716049;6.8;5.3333;;8.763623697;12.2;;;;;;;;
3.309247687;5.9;5.35;;8.681121753;12;;;;;;;;
2.967092383;5.9;5.3667;;8.675925926;12;;;;;;;;
2.640709478;5.9;5.3833;;8.665605527;12;;;;;;;;
2.334128;5.9;5.4;;8.659861569;12;;;;;;;;
2.050946663;5.9;5.4167;;8.642143764;12;;;;;;;;
17.00566614;12.9;5.4333;;8.640493827;11.9;;;;;;;;
17.23297231;12.9;5.45;;8.582842432;11.9;;;;;;;;
17.4286641;12.9;5.4667;;8.574786397;11.9;;;;;;;;
17.59086404;12.9;5.4833;;8.55;11.9;;;;;;;;
17.718125;12.9;5.5;;8.5459375;11.9;;;;;;;;
9.890569848;14.8;5.5167;;8.537097097;11.9;;;;;;;;
9.835807012;14.8;5.5333;;8.531728395;11.9;;;;;;;;
9.817742688;14.8;5.55;;8.4690625;11.9;;;;;;;;
9.836102753;14.8;5.5667;;8.424243556;11.9;;;;;;;;
9.890182774;14.8;5.5833;;8.401253851;11.9;;;;;;;;
13.421152;8.6;5.6;;8.345795457;11.8;;;;;;;;
13.29946663;8.6;5.6167;;8.331910202;11.8;;;;;;;;
13.14675651;8.6;5.6333;;8.325533827;11.8;;;;;;;;
12.96544731;8.6;5.65;;8.311190708;11.8;;;;;;;;
12.75839506;8.6;5.6667;;8.306644439;11.8;;;;;;;;
13.62888608;9.7;5.6833;;8.297298147;11.7;;;;;;;;
13.380637;9.7;5.7;;8.284205247;11.7;;;;;;;;
13.11779478;9.7;5.7167;;8.28418579;11.7;;;;;;;;
12.84493669;9.7;5.7333;;8.277671853;11.7;;;;;;;;
12.56707031;9.7;5.75;;8.250014654;11.7;;;;;;;;
6.010366457;8.6;5.7667;;8.19752;11.5;;;;;;;;
6.281505404;8.6;5.7833;;8.186041667;11.5;;;;;;;;
6.540048;8.6;5.8;;8.185119951;11.5;;;;;;;;
6.779265404;8.6;5.8167;;8.160217687;11.5;;;;;;;;
6.991998457;8.6;5.8333;;8.131284688;11.5;;;;;;;;
0.229342313;1.2;5.85;;8.104101563;11.5;;;;;;;;
0.092776691;1.2;5.8667;;8.079392;11.5;;;;;;;;
0.006754782;1.2;5.8833;;8.049061149;11.5;;;;;;;;
0.019843;1.2;5.9;;8.046862;11.5;;;;;;;;
0.022294078;1.2;5.9167;;8.044375;11.5;;;;;;;;
5.957092938;7.3;5.9333;;8.041105203;11.5;;;;;;;;
5.747832687;7.3;5.95;;8.026440099;11.5;;;;;;;;
5.439323494;7.3;5.9667;;8.016762;11.5;;;;;;;;
5.020533367;7.3;5.9833;;7.999436438;11.5;;;;;;;;
4.48;7.3;6;;7.981248;11.5;;;;;;;;
0.197250549;20.1;6.0167;;7.959271395;11.5;;;;;;;;
0.433131753;20.1;6.0333;;7.931072;11.5;;;;;;;;
